policy_seed,terrain_seed,ret
101,68,246.1946499307085
101,69,279.919431784738
101,70,239.04003694484146
101,71,222.1970115163477
101,72,225.9727528775595
101,73,194.45165814431124
101,74,241.35511011330541
101,75,251.3586411284419
101,76,225.88859266909427
101,77,241.72319825229454
101,78,239.11034820395648
101,79,253.6807409818783
101,80,226.00892257358976
101,81,238.64663413528385
101,82,276.44824011708573
101,83,206.60294682527768
101,84,210.90100004021147
101,85,267.81318359848353
101,86,205.06899754790686
101,87,114.54210803217835
101,88,228.6508379325787
101,89,268.0234101087151
101,90,186.50566686957796
101,91,253.4806027681546
101,92,192.3094290829222
101,93,245.89465736066958
101,94,269.7856786631129
101,95,224.6662411728871
101,96,238.85317702262515
101,97,226.7408858096824
101,98,234.40866524047507
101,99,209.82056659899285
101,100,220.0193839509315
101,101,219.5367257149552
101,102,242.8700378034116
101,103,236.16051905940463
101,104,243.02789561137016
101,105,234.3333363090597
101,106,283.1571391645595
101,107,265.21299307816344
101,108,233.54257947919388
101,109,224.1099231813947
101,110,233.7062201020357
101,111,252.41142044547956
101,112,279.7476326802744
101,113,244.6563120931578
101,114,232.6924559372359
101,115,224.3439424526901
101,116,276.5030038387489
101,117,267.49145089117656
101,118,225.74118753311748
101,119,234.3478683606324
101,120,202.5250487631497
101,121,267.2872290914446
101,122,230.83872354204385
101,123,258.4747574478264
101,124,287.88647669045133
101,125,233.83753758549787
101,126,250.0394039432272
101,127,268.07143473441636
101,128,252.58170963649894
101,129,235.56226518623217
101,130,217.97731858999236
101,131,251.71087373074323
101,132,257.9296988923235
101,133,236.7435414940032
101,134,265.7505363416336
101,135,260.1315704624626
101,136,243.83103065350713
101,137,241.36429529019884
101,138,231.3646287098653
101,139,256.6374032043982
101,140,256.9130783442885
101,141,250.3552303410237
101,142,235.1811391362217
101,143,216.1199111594512
101,144,259.71615282503984
101,145,219.29786767695776
101,146,235.9747912468727
101,147,285.90720398878926
101,148,282.4575611826034
101,149,275.78873953068864
101,150,274.68699487048923
101,151,203.5494032131877
101,152,246.90942630728307
101,153,261.5661594480546
101,154,256.8782089079949
101,155,263.78133880326436
101,156,244.82656626826403
101,157,226.5834516420581
101,158,237.7709309696964
101,159,234.17983512578
101,160,225.11201796774043
101,161,270.1098927113867
101,162,252.79169780333118
101,163,200.23413820423818
101,164,271.84008804670077
101,165,223.52355971844662
101,166,207.38158193047434
101,167,227.51068336283498
101,168,265.7432791781929
101,169,200.78781032793074
101,170,234.93872863415308
101,171,208.69075784832262
101,172,233.7820263588567
101,173,281.563611532131
101,174,247.1728940572687
101,175,281.8078733985402
101,176,248.63150605763778
101,177,251.5480716574836
101,178,222.63824293469713
101,179,211.01452953141697
101,180,214.92974697967605
101,181,225.2643909900471
101,182,253.79076103044116
101,183,262.2933655147508
101,184,264.3268190786551
101,185,262.7282279953422
101,186,222.38185503731043
101,187,271.50938102618636
101,188,239.81757387401433
101,189,208.17930365404362
101,190,239.05604183201115
101,191,239.93116991118964
101,192,-5.388974770733569
101,193,239.84851540273567
101,194,210.0696944872691
101,195,275.175806816507
101,196,214.8523250139454
101,197,263.91282864070433
101,198,224.29080752485447
101,199,254.0773500191516
101,200,270.5585821464309
102,1,241.971153883538
102,2,207.38531858732188
102,3,217.38091030355656
102,4,234.4464935742321
102,5,236.80849406838163
102,6,300.6332123582006
102,7,243.18949059971635
102,8,252.158015324994
102,9,277.3517002610094
102,10,227.5082736131199
102,11,240.88801245419205
102,12,117.5259510012193
102,13,-10.33899272540529
102,14,237.17502720657473
102,15,246.4641542173579
102,16,262.35126502999947
102,17,283.213545991096
102,18,276.5179029349385
102,19,218.60065293013304
